id,company_name,domain_name,email,store_status,total_rating,monitoring_date
77,(주)엘이디세이버,ledsaver.co.kr,wanhee.cho@ledsaver.co.kr ,광고용(홍보용),3,2024-01-23
78,원아트,oneartmall.co.kr,oneart@hanafos.com,등록정보불일치,2,2024-01-23
79,05스튜디오/05studio,www.chicby.co.kr,ej4802@naver.com,등록정보불일치,3,2024-01-23
80,써머에브리데이(Summer Everyday),smartstore.naver.com/zikmulone,zikmulone@naver.com,등록정보불일치,3,2024-01-23
81,콘테스토(Contesto),www.anticaocchialeria.co.kr,contesto10@gmail.com,사이트운영중단,2,2024-01-23
82,제이제이백,zinas.co.kr,pkm1010@naver.com,등록정보불일치,2,2024-01-23
83,블랑쉐,https://blanchet-u.com/,carrotcake12@naver.com,등록정보불일치,2,2024-01-23
84,주식회사 바하마브리즈코리아,wowcrab.modoo.at,iok337@naver.com,등록정보불일치,0,2024-01-23
85,루씨르메이드(LUCIRMADE),https://smartstore.naver.com/lucirmade,jjj331300@naver.com,등록정보불일치,2,2024-01-23
86,비빈티지,fromh.kr,fromh_official@naver.com,등록정보불일치,2,2024-01-23
87,디아누주얼리/D'annu jewelry,www.dannu.co.kr,Dannukorea@gmail.com,영업중,2,2024-01-23
88,"주식회사 파프리카3(PAPRLKA3,Corp.)",www.raktv.kr,one@paprika3.com,등록정보불일치,2,2024-01-23
89,퍼니인어스 주식회사,https://furniinus.com,furni-in-us@naver.com,등록정보불일치,2,2024-01-23
90,디안,www.diantex.kr,help@diantex.co.kr,등록정보불일치,2,2024-01-23
91,주식회사 골프투게더,www.golftogether.co.kr,rotop@naver.com,등록정보불일치,2,2024-01-23
92,맛차차,www.matchachaseoul.com,matchachaseoul@gmail.com,등록정보불일치,3,2024-01-23
93,매뉴팩트커피,manufactcoffee.com,wholesale@manufactcoffee.com,등록정보불일치,2,2024-01-23
94,딤플(DIMPLE),www.dimpleleather.com,po00115@naver.com,등록정보불일치,2,2024-01-23
95,미니커플샷(minicoupleshot),www.coupleshot.com,mncoupleshot@naver.com,등록정보불일치,1,2024-01-23
96,미오플러스,kiminsoon.com,mioplus@naver.com,등록정보불일치,2,2024-01-23
97,지타촌,www.jitachon.com,baejitan@gmail.com,사이트운영중단,3,2024-01-23
98,주식회사 토이즈앤,naturen.co.kr,hywoo.toysand@gmail.com,등록정보불일치,3,2024-01-23
99,헬로우브라운,smartstore.naver.com/hellobrown,hello-brown@daum.net,휴업중,3,2024-01-23
100,커뮤니케이션북스(주),7474001.com,jwjuhn@commbooks.com,등록정보불일치,2,2024-01-23
